Guinea,6.9845634,8.186598,17.20987456424263
Greece,2.859189,3.4048665,19.085044745205707
Venezuela,7.38539,8.938228,21.025809063570108
Sierra Leone,8.015091,9.713483,21.189927849852236
Ecuador,5.884528,7.423047,26.14515556727744
South Sudan,10.626902,13.431118,26.387897432384342
Jamaica,1.2681661,1.6691929,31.62257688484183
Portugal,5.419661,7.175203,32.39209980107612
South Africa,15.397949,21.228935,37.86858886206208
Peru,1.0943778,1.5203637,38.92493981511688
Zimbabwe,18.28051,25.492823,39.453565573389376
Thailand,10.962321,15.344368,39.973715420301964
United States,9.991356,14.071722,40.8389611980596
South Korea,14.469018,20.575,42.20038982604071
Ghana,5.64742,8.079857,43.071650417358725
Cyprus,1.8310854,2.660045,45.2714876105724
Brazil,4.678976,6.913922,47.76570771040503
Uruguay,14.654292,22.015646,50.233433317692864
Mozambique,12.384763,19.393421,56.590973924975394
Philippines,2.4951868,4.083805,63.66730538972072
Paraguay,3.892391,6.538411,67.97929601625326
Mexico,4.0648212,6.8965597,69.66452792560716
Eswatini,18.837135,32.354332,71.75824242911673
Georgia,2.6285424,4.587492,74.52607954887849
Brunei,1.3852416,2.6806583,93.5155787986731
Lesotho,17.633772,37.36247,111.88019216762018
